page_id;cargo_real
35068;analista
40958;administracion
33811;trabajador social 
23103;instructor
14014;operadora
38038;nutricionista
12248;encargado
31080;analista
1162;instructor
21992;ingeniero
33234;tecnico
19044;profesional
16885;cirujano
22711;auxiliar
15606;analista
4798;practica
32426;administrador
30692;jefe
18656;ecologia
29011;abogado
6020;coordinador
39903;departamento
4294;asesor
34376;recepcionista
22838;administracion
497;director
34953;gestor
24041;arte
39326;encargado
41063;gestion
13156;analista
35564;tecnico
5486;educador
28603;administracion
7632;tecnico
14518;tecnico
38534;auxiliar
25653;jefe
12744;comunicacion
40671;cirujano
33738;gestor
19548;encargado
43010;practica
13391;departamento
11125;ecologia
36920;abogado
9003;profesional
26032;tecnico
24286;auxiliar
650;tecnico en
30159;enfermera
41881;psicologo
4053;obra
36305;profesional
17379;tecnico
10737;operador
12583;gerente
42602;medicos
25494;psicologo
8611;analista sistemas
27620;terapeuta
37517;tecnico
5641;auxiliar
19283;medico
3111;analista
31247;psicologo
5968;jefe departamento
25198;secretaria
44152;cirujano
16067;supervisora
1980;instructor
21170;adquisiciones
27909;fiscalizador
11429;arquitecto
18491;encargado
30455;enfermero
2703;tecnico
36609;secretaria
17675;cirujano
979;paramedico
20762;administrativo
24331;tecnico
26185;coordinador
39056;enfermero
36897;tecnico
29944;cuidador
6975;auxiliar
41313;abastecimiento
11092;enfermera
13226;enfermera
29361;kinesiologo
6350;medico
24914;analista
34006;tecnologo medico
13803;fiscalizador
41936;educador
33448;profesional
19638;profesional
27797;paramedico
25523;fiscalizacion
12434;enfermero
10680;paramedico
14668;procurador
35614;tecnica
28573;tecnico
7542;tecnico
1212;computacion
23856;nutricionista
33144;encargado
14941;analista
19334;auxiliar
12138;practica
23273;docente
1837;jefe departamento
19911;fiscalizacion
14364;administracion
35318;departamento
26489;organizacion
32756;tecnologo medico
18526;animador
22461;kinesiologo
15576;digitador
7289;asistente
44222;enfermeria
16317;medico
21200;administrativo
3844;paramedico
16932;secretaria
33383;paramedico
3261;personal
31137;auxiliar
17505;departamento
20412;informacion
36579;psicologo
30725;abogado
2473;produccion
32591;coordinador
11759;enfermera
17009;supervisor
11870;salvavidas
43945;informatico
4323;informatico
9956;laboratorio
26967;tecnico
6197;coordinador
36075;tecnico
15898;analista
520;administrativo
30229;recepcionista
43360;administracion
11255;auxiliar
39291;hematologo
9373;administracion
4906;apoyo
37667;trabajadora
7785;entrenador
5531;hogar
10447;ingeniero electrico
42572;mantencion
8561;administrativo
27550;analista
38483;gestion
40873;medicos
12946;auxiliar paramedico
35143;educador
25851;administrativo
7215;enfermera
28224;jefe
1049;arbitro
12363;tecnico
40256;educador
7830;laboratorio
28801;medico
38113;educador
25274;gestion
6407;apoyo
29436;administrador
34751;psicologo
17599;educador
41444;asistente dental
13571;auxiliar
24466;instructor
39701;practica
39828;auxiliar
15221;enfermero
18854;fiscal
17095;terapeuta
30890;psicologo
20182;profesional
22336;psicologo
41148;geomensor
18271;recaudador
15804;administrativo
32001;taller
22913;apoyo
16687;departamento
14433;medico
23524;supervisora
21790;abastecimiento
7719;recursos humanos
28728;departamento
1545;construccion
33613;tecnico en
25778;encargado
30072;encargado
20960;gestion
2324;operador
17877;enfermero
26119;tecnico
9128;departamento
2901;tecnologo medico
20345;conductor
17252;encargado
4178;periodista
24988;director
42729;administracion
3536;tecnico en
1782;operador
35688;administracion
21557;reclutamiento
44575;gestion
16440;cirujano
5843;departamento
27207;bienestar
8236;personal
40091;asistente
10310;encargado
42225;recursos humanos
37130;tecnico
27822;laboratorio
8813;gestor
35384;departamento
5266;analista
42800;tecnica
10935;operador
31949;practica
44079;organizacion
2628;operador
277;administrativo
26415;tecnico
9424;administrativo
43437;administracion
11502;intermediacion laboral
41683;administracion
20649;paramedico
852;instructor
4474;administrativo
34596;enfermero
36722;educador
18101;tecnologo medico
2293;enfermera
32371;auxiliar
41238;tecnico
15151;analista
22046;medico
32954;alimento
13928;paramedico
36399;director
25408;auxiliar
19713;paramedico
1635;jefe departamento
33563;encargado
3481;auxiliar
7469;enfermera
28458;departamento
14743;tecnica
23654;fonoaudiologo
42392;kinesiologo
12013;informatico
40126;departamento
8381;profesional
38263;practica
25104;tecnico
35816;asistente
1339;adquisiciones
10882;enfermera
27995;psiquiatra
38846;gestion
37087;presidente
7165;auxiliar
28154;enfermera
23358;encargado
41734;tecnologo medico
43580;medico
24716;profesional
39471;practica
9593;tecnico
6777;fiscalizacion
29746;paramedico
36695;administracion publica
34421;secretaria
14088;tecnico
28393;tecnico
37240;enfermeria
5116;psicologo
16819;enfermera
27177;gestor
8146;quimico farmaceutico
7987;instructor
37865;auditor
10060;apoyo
42155;practica
4704;administrativo
36452;profesional
20539;nutricion
26765;administrativo
9754;administracion
43747;administracion empresa
11672;enfermero
2558;profesional
107;administrativo
4208;bienestar
20035;cirujano
26269;reclutamiento
9258;educador
2054;analista
21627;analista
23493;encargado
14584;departamento
3646;administrativo
31510;medicos
42459;tecnico en
30787;conductor
32533;fiscalizador
18743;operador
24458;tecnico
22604;administracion
15713;encargado
29408;alimento
6439;tecnico en
40268;tecnica
33321;tecnologo medico
21887;gestion
1077;coordinador
31195;contabilidad
16990;psicologo
19151;departamento
23016;administrativo
33904;personal
14101;enfermero
25746;jefe
38421;kinesiologo
40764;educador
12651;paramedico
31499;operario
28716;departamento
7727;comunicacion
5593;ginecologo
35471;auxiliar
582;profesional
39233;practica
24154;auxiliar
34846;apoyo
13043;abogado
41176;enfermera
22308;supervisor
34263;tecnico en
4381;entrenador
39816;educador diferencial
29104;organizacion
21569;apoyo
5754;asistente
37402;paramedico
3508;fiscalizador
42717;profesional
12496;medico
10622;cirujano
8704;tecnico
27735;auxiliar
25581;coordinador
41994;comunicacion
36210;tecnico en
4146;procurador
11030;tecnico
13284;gestion
43105;traumatologo
24393;tecnico
9116;analista
26127;administracion
745;coordinador
17849;asistente
18088;nutricionista
17760;analista
20677;coordinador
43409;obra
13788;enfermera
18584;tecnico en
249;director
2616;enfermeria
30540;encargado
16172;administrativo
44047;ingenieria mecanica
21065;analista
31977;abogado
1895;administrativo
5258;fiscalizacion
31352;tecnico
8208;instructor
27239;departamento
28466;tecnico en
35701;tecnico
25436;auxiliar
27682;medico
38751;tecnico en
10795;tecnico informatico
12521;enfermero
34113;analista
24801;supervisora
29274;hortalizas
6245;psicologo
41823;administracion empresa
13916;coordinador
2888;profesional
22078;enfermero
29851;paramedico
6860;educador
36982;compras
39143;recolector
26090;auxiliar
24224;laboratorio
13333;analista
11187;asesor
41206;tecnico
29778;educador
6749;odontologo
22574;medico veterinario
15463;quimico farmaceutico
24728;coordinador
32643;tecnico
18433;paramedico
1922;coordinador
23366;cirujano
14271;abogado
19804;profesional
38878;tecnico en
42989;auxiliar
33051;tecnico
23943;paramedico
1307;departamento
19221;paramedico
14854;tecnico
35828;asistente
10299;abogado
40118;enfermero
139;administrativo
32484;tecnico
2566;nutricionista
30630;laboratorio
43779;enfermero
39688;abogado
17410;informacion
20507;jefe
28988;tecnico
8178;director
27149;gestion
16827;tecnico
31022;asistente dental
21930;coordinador
3374;analista
5128;abogado
16202;administrativo
44337;tecnico
3951;instructor
21315;educador
42467;auxiliar
10552;fiscalizacion
38596;enfermera
8474;analista
27445;gestion
3678;departamento
5424;coordinador
7690;contabilidad
37772;departamento
21619;tecnico
435;administrativo
32188;alimento
11340;ingeniero
43275;administracion empresa
4813;profesional
9266;enfermero
26257;administrativo
39384;practica
30919;tecnico en
43850;departamento
11965;kinesiologo
36160;tecnico en
6082;psicologo
9843;administrativo
26872;antropologo
4236;coordinador
13464;analista
41551;supervisor
39614;desarrollador
24573;jefe
18668;fiscalizador
32418;tecnico
34644;practica
6512;obra
29523;administrativo
15638;entrenador
40343;administracion
12276;enfermeria
25361;psicologo
38006;administracion
7925;encargado
28914;auxiliar
12853;supervisor
40966;administrativo
7300;auxiliar
28331;enfermera
25944;tecnico
35056;ecografia
19576;produccion
33706;analista
1450;entrenador
14526;paramedico
16792;terapeuta
21685;secretaria
23431;analista
13168;enfermera
39318;tecnico
15911;analista
18364;comunicacion
22806;tecnico
32114;educador
34348;gestor
17180;alimento
18941;nutricionista
15334;informatico
22223;animador
20097;tecnico
30985;ingeniero
37529;odontologia
21442;analista
16555;administrativo
40488;administrador
1697;conductor
31775;asistente
20250;analista
2814;administrativo
17347;auditor
2231;auxiliar
20875;asistente
30167;terapeuta
17962;enfermera
947;instructor
36637;administrativo
34483;fiscalizacion
4561;departamento
362;encargado
26500;operador
9531;abastecimiento
41796;medico
11417;enfermero
43522;practica
5373;educador
35291;educador
27937;proyectista
8906;paramedico
37025;gestion
10820;tecnico
42915;administracion
16059;tecnico en
19898;kinesiologo
27312;tecnico
8323;medico
5956;auxiliar
42330;administracion
10205;jefe departamento
40184;educador
31279;educador
14656;editor
23741;enfermero
8798;paramedico
19606;administrativo
3594;abastecimiento
33476;tecnico en
1720;departamento
15044;cirujano
32841;abastecimiento
41908;tecnico
34038;profesional
18014;educador
32264;apoyo
2386;auxiliar
13218;educador
43199;departamento
39068;tecnico
15548;administrativo
34534;practica
36780;secretaria
6662;auxiliar
29653;director
18518;fonoaudiologo
32768;mantencion
43495;computacion
13714;auxiliar
41621;analista
9486;medico
24603;tecnico
10997;analista
7070;enfermera
28041;abogado
37192;nutricion
38953;tecnico
27880;departamento
35326;supervisor
1809;administrativo
40033;educador
12106;hogar
35903;laboratorio
25011;tecnico
38376;administrativo
8294;administrativo
3098;departamento
23868;administrativo
26670;auxiliar
9641;auxiliar
11767;adquisiciones
29494;apoyo
36547;supervisor
4611;telecomunicaciones
22698;auxiliar
31109;auxiliar
37970;tecnico
7892;tecnologo medico
27062;departamento
8053;instructor
10175;profesional
33998;asistente
16329;educador
5003;administrativo
37355;tecnico
28286;apoyo
31405;jefe
3753;auxiliar
10479;profesional
23586;abastecimiento
21732;tecnico
16625;tecnico dental
14491;coordinador
37659;terapeuta
4938;cirujano
2141;analista
30217;administrador
29198;psiquiatra
26959;educador
9968;supervisor
30832;director
20120;paramedico
22394;auxiliar
15283;paramedico
17037;administrativo
28429;terapeuta
7418;profesional
16586;conductor
14732;comunicacion
23625;analista
21491;analista
25479;paramedico
19762;jefe departamento
1644;bodeguero
33512;gestor
15120;tecnico en
17394;apoyo
20283;terapeuta
22037;asesor
32925;encargado
13959;tecnico en
18170;administracion
32300;entrenador
41249;auditor
17698;auxiliar
994;apoyo
29737;primaria
6706;medico
34450;administrativo
41745;dentista
13670;tecnico
24767;educador
39400;jardin
35242;asesor
38837;gestion
28125;trabajador social 
7114;analista
23329;paramedico
12062;instructor
38212;enfermera
25175;tecnologo medico
5985;profesional
35867;gestion
1348;profesional
9725;conductor
43736;medicos
11603;procurador
41582;enfermero
2529;enfermero
176;comunicacion
4775;educador
34697;practica
20548;tecnico en
16868;pediatra
8137;ingeniero
27106;secretaria
37814;medico
40390;encargado
10011;jefe departamento
37231;odontologo
25997;instrumentos
35085;director
5167;tecnico
12880;cirujano
3637;educador
31561;paramedico
1483;entrenador
42428;gestion
21656;administrativo
16741;enfermero
35589;administracion
9229;auxiliar
26218;tecnico
30373;tecnico
2025;coordinador
4279;coordinador
20044;fiscalizador
30956;auxiliar
17153;tecnico en
18992;paramedico
41435;practica
13500;auxiliar
43681;secretaria
39770;administrativo
9692;psicologo
29447;administrativo
6476;analista
36594;abogado
34720;administrativo
1038;encargado
42093;enfermeria
12312;auxiliar
40227;encargado
28870;pediatra
7841;jefe
8080;abogado
38162;farmaceutico
25205;administrativo
23059;educador
40802;supervisor
12937;practica
35132;enfermeria
25820;tecnico en
37386;auxiliar
28255;psicologo
7264;tecnico
33662;terapeuta
3780;auxiliar
25709;administrativo
14442;tecnologo medico
23555;paramedico
28759;educador
7768;ciencias sociales 
41139;auxiliar
34809;tecnico en
18200;cirujano
15875;tecnologo medico
2192;educador
32070;secretario
22962;jardin
36098;coordinador
39859;analista
18825;coordinador
22347;psicologo
21526;bodeguero
23792;apoyo
44504;analista
16431;traumatologo
42758;instalacion
3547;analista
31611;abastecimiento
32892;profesional
2970;educador
22180;administrativo
20334;auxiliar
17223;psicologo
15097;tecnico
4109;cirujano
30003;kinesiologo
20911;departamento
2355;abogado
17806;educador
6998;mantencion
9159;coordinador
26168;administrativo
20638;paramedico
4405;departamento
36753;manager
29680;educador
2659;profesional
206;administrativo
9455;administrativo
26464;tecnologo medico
43446;supervisor
